,2
Should Jan Vertonghen have seen red Was Alexandre Lacazette unluckyDermot Gallagher looks at the big decisions: ,0.0,https://twitter.com/SkySportsPL/status/899634728562765828
Jan Vertonghen relishing Davinson Sanchez competition at Tottenham,0.0,https://twitter.com/SkySportsLyall/status/905466232266096644
Jan Vertonghen's accidental swing on Mario Gotze has caused some serious damage ,-0.3333333333333333,https://twitter.com/TheSunFootball/status/908484261094838272
Jan Vertonghen makes his big screen debut ,0.0,https://twitter.com/SkySportsPL/status/910495786798116864
