,2
Henri Saivet has actually played well. He reminds me a bit of N'Golo Kante...,0.0,https://twitter.com/CraigHope_DM/status/900454925062340612
REPORT: N'Golo Kante the unlikely goal scoring hero for Antonio Conte's men. Highlights here: ,-0.5,https://twitter.com/TheSunFootball/status/906546863716925440
Is Chelsea's N'Golo Kante the best player in the Premier LeagueThe Soccer Saturday pundits make their picks: ,1.0,https://twitter.com/SkySportsPL/status/908651633378316288
Chelsea lead Prem sides for 14yearold striker and N'Golo Kante protege ,0.0,https://twitter.com/TheSunFootball/status/911138001304113152
