Are Watford interested in Andre Carrillo, Kieran Gibbs and Islam SlimaniMarco Silva has been talking transfers: ,0.25,https://twitter.com/SkySportsPL/status/898240536976527360
Arsenal man Kieran Gibbs in talks to join another Premier League club ,0.0,https://twitter.com/TheSunFootball/status/901081742022512641
As Alex OxladeChamberlain and Kieran Gibbs leave, we look at what happened to Arsenal's 'British core': ,0.0,https://twitter.com/SkySportsPL/status/903279501739741190
,2
,2
