,2
Danilo finally on the pitch for John Stones. Leroy Sane now being asked to operate as a conventional left back in four... MCIEVE,-0.03571428571428571
GOAL Leroy Sane guides Benjamin Mendy's low cross past Mignolet MCILIV ,-0.08333333333333333
Raheem Sterling trolls Manchester City teammate Leroy Sane over his tattoo,0.0
Leroy Sane brace ensures that Man City survive a scare at West Brom ,0.0
