,2
,2
Pascal Gross double leads lowly Brighton to victory over West Brom.  ,0.0,https://twitter.com/guardian_sport/status/906550931189374977
How impressed have you been with Pascal Gro Live on Sky Sports Premier League or follow it here: ,0.5681818181818181,https://twitter.com/SkySportsPL/status/908764400055701504
BHAFC midfielder Pascal Gross already looks like one of the bargain signings of the summer  ,0.0,https://twitter.com/SkySportsPL/status/910979514968297472
