,2
Son replaces Eric Dier for Tottenham TOTCHE ,0.0,https://twitter.com/TeleFootball/status/899306820040368129
Are you watching Spurs fans Eric Dier can do it at Wembley ,0.0,https://twitter.com/talkSPORT/status/906034365586694144
Tottenham's Eric Dier and his girlfriend spotted enjoying some high culture in London ,0.33,https://twitter.com/TheSunFootball/status/908729630923902976
Tottenham's Eric Dier and his girlfriend spotted enjoying some high culture in London ,0.33,https://twitter.com/TheSunFootball/status/908925920005718016
