first_name,second_name,id,element_type,team_code,now_cost
Phil,Jagielka,140,2,11,4.7
Álvaro,Morata,472,4,8,10.4
Maya,Yoshida,308,2,20,4.6
Sam,Clucas,519,3,80,4.7
Manuel,Lanzini,453,3,21,6.6
Mohamed,Diamé,298,3,4,4.6
Bruno,Saltor Grau,58,2,36,4.5
Ryan,Fraser,47,3,91,5.1
Steven,Defour,85,3,90,5.4
Joel,Matip,219,2,14,5.4
Jordon,Ibe,45,3,91,4.6
Callum,Wilson,48,4,91,5.6
Jack,Stephens,313,2,20,4.5
José Heriberto,Izquierdo Mena,517,3,36,5.9
Phil,Jones,264,2,1,5.5
Sergio,Agüero,257,4,43,11.5
Dwight,Gayle,301,4,4,6.1
Mike,van der Hoorn,356,2,80,4.4
Dan,Gosling,43,3,91,4.8
Andrew,Robertson,475,2,14,5
Nathan,Redmond,324,3,20,5.9
Gareth,Barry,151,3,35,4.4
Juan,Mata,274,3,1,6.8
Christian,Fuchs,192,2,13,4.7
Chris,Brunt,434,3,35,5
Kieran,Trippier,382,2,6,5.2
Leighton,Baines,138,2,11,5.7
Aaron,Lennon,153,3,90,5.4
Tommy,Smith,166,2,38,4.7
Joseph,Gomez,218,2,14,4.5
Tom,Cleverley,408,3,57,5
Tom,Davies,156,3,11,5.1
Mousa,Dembélé,385,3,6,4.9
Willian,Borges Da Silva,106,3,8,7
Ruben,Loftus-Cheek,108,3,31,4.4
Dominic,Calvert-Lewin,159,4,11,4.9
Arthur,Masuaku,446,2,21,4.2
Sung-yueng,Ki,363,3,80,4.6
Andrew,Surman,41,3,91,4.3
Steve,Mounie,188,4,38,5.5
Benjamin,Chilwell,196,2,13,4.4
Aaron,Ramsey,18,3,3,6.8
Solomon,March,66,3,36,4.8
Troy,Deeney,417,4,57,6.3
André,Ayew,449,3,80,6.8
Ashley,Williams,143,2,11,5.2
Cuco,Martina,464,2,11,4.1
Alex,Iwobi,21,3,3,5.1
Daryl,Janmaat,404,2,57,4.8
Laurent,Depoitre,187,4,38,5
Jesse,Lingard,279,3,1,6
Fraser,Forster,306,1,20,4.6
Marcus,Rashford,284,4,1,7.3
Christian,Atsu,300,3,4,4.8
James,Milner,222,2,14,6
Javier,Manquillo,477,2,4,4.2
Ciaran,Clark,289,2,4,4.3
Jeffrey,Schlupp,123,2,31,4.7
Fabian,Delph,246,3,43,4.5
Alex,Oxlade-Chamberlain,19,3,14,5.5
Mario,Lemina,500,3,20,4.8
Tammy,Abraham,374,4,80,5.4
