first_name,second_name,id,element_type,team_code,now_cost,minutes
Alexandre,Lacazette,28,4,3,10.3,2197
Sadio,Mané,230,3,14,9.4,2189
Glenn,Murray,71,4,36,5.9,2184
Patrick,van Aanholt,124,2,31,5.2,2182
Jordan,Henderson,225,3,14,5.3,2169
Mesut,Özil,16,3,3,9.3,2161
Ashley,Barnes,93,4,90,5.3,2150
Sead,Kolasinac,13,2,3,5.8,2146
Paul,Pogba,282,3,1,7.9,2145
Rajiv,van La Parra,173,3,38,4.4,2131
Heurelho,Gomes,397,1,57,4.4,2128
Morgan,Schneiderlin,154,3,11,4.7,2124
Dejan,Lovren,215,2,14,5.3,2124
Tiemoué,Bakayoko,463,3,8,4.9,2121
Victor,Moses,102,2,8,6.5,2109
Florian,Lejeune,294,2,4,4.3,2103
Emre,Can,227,3,14,4.9,2089
Matt,Phillips,432,3,35,5.4,2087
Gary,Cahill,98,2,8,6.2,2082
Adam,Smith,35,2,91,4.8,2067
Andreas,Christensen,470,2,8,5.3,2067
Phil,Jagielka,140,2,11,4.7,2063
Álvaro,Morata,472,4,8,10.4,2055
Maya,Yoshida,308,2,20,4.6,2049
Sam,Clucas,519,3,80,4.7,2039
Manuel,Lanzini,453,3,21,6.6,2039
Mohamed,Diamé,298,3,4,4.6,2034
Bruno,Saltor Grau,58,2,36,4.5,2014
Ryan,Fraser,47,3,91,5.1,2003
Steven,Defour,85,3,90,5.4,1998
Joel,Matip,219,2,14,5.4,1995
Jordon,Ibe,45,3,91,4.6,1988
Callum,Wilson,48,4,91,5.6,1981
Jack,Stephens,313,2,20,4.5,1980
José Heriberto,Izquierdo Mena,517,3,36,5.9,1976
Phil,Jones,264,2,1,5.5,1973
Sergio,Agüero,257,4,43,11.5,1960
Dwight,Gayle,301,4,4,6.1,1946
Mike,van der Hoorn,356,2,80,4.4,1944
Dan,Gosling,43,3,91,4.8,1941
Andrew,Robertson,475,2,14,5,1940
Nathan,Redmond,324,3,20,5.9,1938
Gareth,Barry,151,3,35,4.4,1921
Juan,Mata,274,3,1,6.8,1919
Christian,Fuchs,192,2,13,4.7,1917
Chris,Brunt,434,3,35,5,1917
Kieran,Trippier,382,2,6,5.2,1912
Leighton,Baines,138,2,11,5.7,1909
Aaron,Lennon,153,3,90,5.4,1906
Tommy,Smith,166,2,38,4.7,1902
Joseph,Gomez,218,2,14,4.5,1901
Tom,Cleverley,408,3,57,5,1900
Tom,Davies,156,3,11,5.1,1892
Mousa,Dembélé,385,3,6,4.9,1875
Willian,Borges Da Silva,106,3,8,7,1874
Ruben,Loftus-Cheek,108,3,31,4.4,1871
Dominic,Calvert-Lewin,159,4,11,4.9,1871
Arthur,Masuaku,446,2,21,4.2,1867
Sung-yueng,Ki,363,3,80,4.6,1865
